year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1984,NEVADA,NV,282717,"MONDALE, WALTER","REAGAN, RONALD",91655,188770,188770,91655,48558,R,,0.0,0.0,0.0,R
1984,NEW HAMPSHIRE,NH,388904,"MONDALE, WALTER","REAGAN, RONALD",120347,267050,267050,120347,73352,R,,0.0,0.0,0.0,R
1984,NEW JERSEY,NJ,3217862,"MONDALE, WALTER","REAGAN, RONALD",1261323,1933630,1933630,1261323,336154,R,,0.0,0.0,0.0,R
1984,NEW MEXICO,NM,514370,"MONDALE, WALTER","REAGAN, RONALD",201769,307101,307101,201769,52667,R,,0.0,0.0,0.0,R
1984,NEW YORK,NY,6806810,"MONDALE, WALTER","REAGAN, RONALD",3001285,3376519,3376519,3001285,187618,R,,0.0,0.0,0.0,R
1984,NORTH CAROLINA,NC,2175361,"MONDALE, WALTER","REAGAN, RONALD",824287,1346481,1346481,824287,261098,R,,0.0,0.0,0.0,R
1984,NORTH DAKOTA,ND,308971,"MONDALE, WALTER","REAGAN, RONALD",104429,200336,200336,104429,47954,R,,0.0,0.0,0.0,R
1984,OHIO,OH,4563235,"MONDALE, WALTER","REAGAN, RONALD",1825440,2678559,2678559,1825440,426560,R,,0.0,0.0,0.0,R
1984,OKLAHOMA,OK,1255676,"MONDALE, WALTER","REAGAN, RONALD",385080,861530,861530,385080,238226,R,,0.0,0.0,0.0,R
1984,OREGON,OR,1226527,"MONDALE, WALTER","REAGAN, RONALD",536479,685700,685700,536479,74611,R,,0.0,0.0,0.0,R
1984,PENNSYLVANIA,PA,4844903,"MONDALE, WALTER","REAGAN, RONALD",2228131,2584323,2584323,2228131,178097,R,,0.0,0.0,0.0,R
1984,RHODE ISLAND,RI,410489,"MONDALE, WALTER","REAGAN, RONALD",197106,212080,212080,197106,7488,R,,0.0,0.0,0.0,R
1984,SOUTH CAROLINA,SC,968529,"MONDALE, WALTER","REAGAN, RONALD",344459,615539,615539,344459,135541,R,,0.0,0.0,0.0,R
1984,SOUTH DAKOTA,SD,317867,"MONDALE, WALTER","REAGAN, RONALD",116113,200267,200267,116113,42078,R,,0.0,0.0,0.0,R
1984,TENNESSEE,TN,1711993,"MONDALE, WALTER","REAGAN, RONALD",711714,990212,990212,711714,139250,R,,0.0,0.0,0.0,R
1984,TEXAS,TX,5397571,"MONDALE, WALTER","REAGAN, RONALD",1949276,3433428,3433428,1949276,742077,R,,0.0,0.0,0.0,R
1984,UTAH,UT,629656,"MONDALE, WALTER","REAGAN, RONALD",155369,469105,469105,155369,156869,R,,0.0,0.0,0.0,R
1984,VERMONT,VT,234561,"MONDALE, WALTER","REAGAN, RONALD",95730,135865,135865,95730,20068,R,,0.0,0.0,0.0,R
1984,VIRGINIA,VA,2146635,"MONDALE, WALTER","REAGAN, RONALD",796250,1337078,1337078,796250,270415,R,,0.0,0.0,0.0,R
1984,WASHINGTON,WA,1874910,"MONDALE, WALTER","REAGAN, RONALD",798352,1051670,1051670,798352,126660,R,,0.0,0.0,0.0,R
1984,WEST VIRGINIA,WV,735742,"MONDALE, WALTER","REAGAN, RONALD",328125,405483,405483,328125,38680,R,,0.0,0.0,0.0,R
1984,WISCONSIN,WI,2211689,"MONDALE, WALTER","REAGAN, RONALD",995740,1198584,1198584,995740,101423,R,,0.0,0.0,0.0,R
1984,WYOMING,WY,188968,"MONDALE, WALTER","REAGAN, RONALD",53370,133241,133241,53370,39936,R,,0.0,0.0,0.0,R
1988,ALABAMA,AL,1378476,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",549506,815576,815576,549506,133036,R,,0.0,0.0,0.0,R
1988,ALASKA,AK,200116,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",72584,119251,119251,72584,23334,R,,0.0,0.0,0.0,R
1988,ARIZONA,AZ,1171873,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",454029,702541,702541,454029,124257,R,,0.0,0.0,0.0,R
1988,ARKANSAS,AR,827738,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",349237,466578,466578,349237,58671,R,,0.0,0.0,0.0,R
1988,CALIFORNIA,CA,9887065,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",4702233,5054917,5054917,4702233,176343,R,,0.0,0.0,0.0,R
1988,COLORADO,CO,1372394,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",621453,728177,728177,621453,53363,R,,0.0,0.0,0.0,R
1988,CONNECTICUT,CT,1443394,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",676584,750241,750241,676584,36829,R,,0.0,0.0,0.0,R
1988,DELAWARE,DE,249891,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",108647,139639,139639,108647,15497,R,,0.0,0.0,0.0,R
1988,DISTRICT OF COLUMBIA,DC,192877,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",159407,27590,159407,27590,65909,D,,0.0,0.0,0.0,R
1988,FLORIDA,FL,4302313,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1656701,2618885,2618885,1656701,481093,R,,0.0,0.0,0.0,R
1988,GEORGIA,GA,1809672,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",714792,1081331,1081331,714792,183270,R,,0.0,0.0,0.0,R
1988,HAWAII,HI,354461,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",192364,158625,192364,158625,16870,D,,0.0,0.0,0.0,R
1988,IDAHO,ID,408968,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",147272,253881,253881,147272,53305,R,,0.0,0.0,0.0,R
1988,ILLINOIS,IL,4559120,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",2215940,2310939,2310939,2215940,47500,R,,0.0,0.0,0.0,R
1988,INDIANA,IN,2168621,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",860643,1297763,1297763,860643,218561,R,,0.0,0.0,0.0,R
1988,IOWA,IA,1225614,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",670557,545355,670557,545355,62602,D,,0.0,0.0,0.0,R
