index,year,state,state_po,totalvotes,D_name,R_name,D_votes,R_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,total_electoral_votes,D_electoral,R_electoral,overall_winner,winner_state
166,1988,ILLINOIS,IL,4526879,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",2215940,2310939,2310939,2215940,47500,R,24,538,112,426,R,True
167,1988,INDIANA,IN,2158406,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",860643,1297763,1297763,860643,218561,R,12,538,112,426,R,True
168,1988,IOWA,IA,1215912,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",670557,545355,670557,545355,62602,D,8,538,112,426,R,False
169,1988,KANSAS,KS,976685,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",422636,554049,554049,422636,65707,R,7,538,112,426,R,True
170,1988,KENTUCKY,KY,1314649,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",580368,734281,734281,580368,76957,R,9,538,112,426,R,True
171,1988,LOUISIANA,LA,1601162,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",717460,883702,883702,717460,83122,R,10,538,112,426,R,True
172,1988,MAINE,ME,550700,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",243569,307131,307131,243569,31782,R,4,538,112,426,R,True
173,1988,MARYLAND,MD,1702471,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",826304,876167,876167,826304,24932,R,10,538,112,426,R,True
174,1988,MASSACHUSETTS,MA,2596050,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1401415,1194635,1401415,1194635,103391,D,13,538,112,426,R,False
175,1988,MICHIGAN,MI,3641269,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1675783,1965486,1965486,1675783,144852,R,20,538,112,426,R,True
176,1988,MINNESOTA,MN,2071808,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1109471,962337,1109471,962337,73568,D,10,538,112,426,R,False
177,1988,MISSISSIPPI,MS,921811,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",363921,557890,557890,363921,96985,R,7,538,112,426,R,True
178,1988,MISSOURI,MO,2086572,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1001619,1084953,1084953,1001619,41668,R,11,538,112,426,R,True
179,1988,MONTANA,MT,359348,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",168936,190412,190412,168936,10739,R,4,538,112,426,R,True
180,1988,NEBRASKA,NE,657191,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",259235,397956,397956,259235,69361,R,5,538,112,426,R,True
181,1988,NEVADA,NV,338778,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",132738,206040,206040,132738,36652,R,4,538,112,426,R,True
182,1988,NEW HAMPSHIRE,NH,445233,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",163696,281537,281537,163696,58921,R,4,538,112,426,R,True
